timestamp;inx;sampleNum;samplePeriodPress;breathRate;filterType;dataType;Samples
1579604559;720;744;75;145;7;1;2577
1579604559;724;744;75;145;7;1;2570
1579604559;728;744;75;145;7;1;2564
1579604559;732;744;75;145;7;1;2557
1579604560;576;745;75;145;7;1;2549
1579604560;580;745;75;145;7;1;2539
1579604560;584;745;75;145;7;1;2532
1579604560;588;745;75;145;7;1;2528
1579604560;592;745;75;145;7;1;2524
1579604560;596;745;75;145;7;1;2521
1579604560;600;745;75;145;7;1;2518
1579604560;604;745;75;145;7;1;2515
1579604560;608;745;75;145;7;1;2512
1579604560;612;745;75;145;7;1;2510
1579604560;616;745;75;145;7;1;2508
1579604560;620;745;75;145;7;1;2504
1579604560;624;745;75;145;7;1;2503
1579604561;555;746;75;145;7;1;2504
1579604561;559;746;75;145;7;1;2510
1579604561;563;746;75;145;7;1;2516
1579604561;567;746;75;145;7;1;2526
1579604561;571;746;75;145;7;1;2536
1579604561;575;746;75;145;7;1;2543
1579604561;579;746;75;145;7;1;2548
1579604561;583;746;75;145;7;1;2557
1579604561;587;746;75;145;7;1;2566
1579604561;591;746;75;145;7;1;2576
1579604561;595;746;75;145;7;1;2585
1579604561;599;746;75;145;7;1;2594
1579604561;603;746;75;145;7;1;2600
1579604562;576;747;75;150;7;1;2603
1579604562;580;747;75;150;7;1;2607
1579604562;584;747;75;150;7;1;2610
1579604562;588;747;75;150;7;1;2609
1579604562;592;747;75;150;7;1;2603
1579604562;596;747;75;150;7;1;2596
1579604562;600;747;75;150;7;1;2590
1579604562;604;747;75;150;7;1;2584
1579604562;608;747;75;150;7;1;2576
1579604562;612;747;75;150;7;1;2569
1579604562;616;747;75;150;7;1;2564
1579604562;620;747;75;150;7;1;2558
1579604562;624;747;75;150;7;1;2553
1579604563;576;748;75;150;7;1;2548
1579604563;580;748;75;150;7;1;2542
1579604563;584;748;75;150;7;1;2536
1579604563;588;748;75;150;7;1;2531
1579604563;592;748;75;150;7;1;2527
1579604563;596;748;75;150;7;1;2524
1579604563;600;748;75;150;7;1;2521
1579604563;604;748;75;150;7;1;2517
1579604563;608;748;75;150;7;1;2515
1579604563;612;748;75;150;7;1;2510
1579604563;616;748;75;150;7;1;2507
1579604563;620;748;75;150;7;1;2506
1579604563;624;748;75;150;7;1;2504
1579604564;576;749;75;150;7;1;2506
1579604564;580;749;75;150;7;1;2512
1579604564;584;749;75;150;7;1;2516
1579604564;588;749;75;150;7;1;2524
1579604564;592;749;75;150;7;1;2536
1579604564;596;749;75;150;7;1;2548
1579604564;600;749;75;150;7;1;2559
1579604564;604;749;75;150;7;1;2569
1579604564;608;749;75;150;7;1;2577
1579604564;612;749;75;150;7;1;2581
1579604564;616;749;75;150;7;1;2589
1579604564;620;749;75;150;7;1;2600
1579604564;624;749;75;150;7;1;2611
1579604565;576;750;75;210;7;1;2620
1579604565;580;750;75;210;7;1;2626
1579604565;584;750;75;210;7;1;2626
1579604565;588;750;75;210;7;1;2621
1579604565;592;750;75;210;7;1;2616
1579604565;596;750;75;210;7;1;2611
1579604565;600;750;75;210;7;1;2605
1579604565;604;750;75;210;7;1;2598
1579604565;608;750;75;210;7;1;2593
1579604565;612;750;75;210;7;1;2586
1579604565;616;750;75;210;7;1;2578
1579604565;620;750;75;210;7;1;2570
1579604565;624;750;75;210;7;1;2564
1579604566;555;751;75;210;7;1;2558
1579604566;559;751;75;210;7;1;2553
1579604566;563;751;75;210;7;1;2548
1579604566;567;751;75;210;7;1;2542
1579604566;571;751;75;210;7;1;2535
1579604566;575;751;75;210;7;1;2529
1579604566;579;751;75;210;7;1;2524
1579604566;583;751;75;210;7;1;2520
1579604566;587;751;75;210;7;1;2517
1579604566;591;751;75;210;7;1;2514
1579604566;595;751;75;210;7;1;2512
1579604566;599;751;75;210;7;1;2511
1579604566;603;751;75;210;7;1;2513
1579604567;555;752;75;210;7;1;2520
1579604567;559;752;75;210;7;1;2529
1579604567;563;752;75;210;7;1;2539
1579604567;567;752;75;210;7;1;2550
1579604567;571;752;75;210;7;1;2561
1579604567;575;752;75;210;7;1;2568
1579604567;579;752;75;210;7;1;2574
1579604567;583;752;75;210;7;1;2585
1579604567;587;752;75;210;7;1;2592
1579604567;591;752;75;210;7;1;2601
1579604567;595;752;75;210;7;1;2609
1579604567;599;752;75;210;7;1;2618
1579604567;603;752;75;210;7;1;2626
1579604568;19;753;75;210;7;1;2631
1579604568;23;753;75;210;7;1;2637
1579604568;27;753;75;210;7;1;2640
1579604568;31;753;75;210;7;1;2637
1579604568;35;753;75;210;7;1;2633
1579604568;39;753;75;210;7;1;2628
1579604568;43;753;75;210;7;1;2623
1579604568;47;753;75;210;7;1;2617
1579604568;51;753;75;210;7;1;2610
1579604568;55;753;75;210;7;1;2605
1579604568;59;753;75;210;7;1;2600
1579604568;63;753;75;210;7;1;2595
1579604568;67;753;75;210;7;1;2591
1579604569;555;754;75;210;7;1;2586
1579604569;559;754;75;210;7;1;2582
1579604569;563;754;75;210;7;1;2577
1579604569;567;754;75;210;7;1;2571
1579604569;571;754;75;210;7;1;2566
1579604569;575;754;75;210;7;1;2564
1579604569;579;754;75;210;7;1;2561
1579604569;583;754;75;210;7;1;2558
1579604569;587;754;75;210;7;1;2555
1579604569;591;754;75;210;7;1;2551
1579604569;595;754;75;210;7;1;2548
1579604569;599;754;75;210;7;1;2542
1579604569;603;754;75;210;7;1;2537
1579604570;148;755;75;210;7;1;2534
1579604570;152;755;75;210;7;1;2532
1579604570;156;755;75;210;7;1;2530
1579604570;160;755;75;210;7;1;2528
1579604570;164;755;75;210;7;1;2527
1579604570;168;755;75;210;7;1;2526
1579604570;172;755;75;210;7;1;2523
1579604570;176;755;75;210;7;1;2520
